1.566353616937612658e+00,1.432742035828791728e-05
3.266444503550502976e+00,3.429296401415063406e-05
4.045462807803170691e+00,-2.346917406667019409e-04
4.052366379177930078e+00,1.357423860453918496e-01
4.064159821172553144e+00,1.835787705812327086e+00
4.076018606977387826e+00,3.535736659368153401e+00
4.080219429857370628e+00,4.042515277325255063e+00
3.689142260411919949e+00,4.051728368019273496e+00
1.989074263066619386e+00,4.064862756846757463e+00
2.891037690958773720e-01,4.078032014244736381e+00
3.756086639024975443e-02,4.080841401565018067e+00
1.840731920994723159e-02,3.417639691366993304e+00
-1.427822355244725248e-02,1.717922063411038369e+00
-4.628674618482667841e-02,5.975983760977742615e-02
-4.773122691419907221e-02,3.880662128337776517e-02
