1.566320659909568924e+00,6.517708120184589372e-03
3.266393380805812541e+00,1.378792468311852010e-02
4.045389692090354039e+00,1.682708631394195034e-02
4.050412568024485793e+00,1.361644424621472060e-01
4.036771835145232856e+00,1.835887458907917713e+00
4.023211249760723085e+00,3.535825350595596106e+00
4.019822234302282915e+00,4.042632489981977884e+00
3.628660194247732118e+00,4.045995701378108933e+00
1.928559626393349768e+00,4.033702198305617159e+00
2.286093402419349940e-01,4.021453971429208352e+00
-2.299574598218051547e-02,4.020529721703605119e+00
-2.523990574383894181e-02,3.374083371615222759e+00
-1.437531280200507640e-02,1.674095070236028659e+00
-3.903375412532837478e-03,1.565688751173285528e-02
-4.800972941602123234e-03,-5.336627779360455549e-03
-5.520210255622923223e-03,-5.110823196010158206e-03
