1.316627139948708169e+00,-7.165073131720598454e-01
2.817349086123756230e+00,-1.515345796633357223e+00
3.504872391475986504e+00,-1.881667035006227007e+00
3.565813476271194826e+00,-1.778930802598750915e+00
4.359030717424885459e+00,-2.756280908448401346e-01
5.152220969446269727e+00,1.228009328765039765e+00
5.389271570182583737e+00,1.675948692074971769e+00
5.046306197588934062e+00,1.864187064251016102e+00
3.543181510626143282e+00,2.658547433204316413e+00
2.040068266530382868e+00,3.452688103801099029e+00
1.818007544522636021e+00,3.571020269388058832e+00
1.509980877843725366e+00,3.002704540331444072e+00
7.146978694510364161e-01,1.500142287201235103e+00
-6.108820128752901618e-02,3.433020110684276149e-02
-7.185818870335468345e-02,1.623063248723594781e-02
