1.566405924958106377e+00,6.519544353323224357e-03,4.280757652991789598e-03
3.266389441201057675e+00,1.379094122398715448e-02,4.282323989373348211e-03
4.045410368444156468e+00,1.683319702410477139e-02,5.031092263712103607e-01
4.051750176620309674e+00,1.528169518556826423e-01,1.571258242048412690e+00
4.056257942675283168e+00,1.852890828677247859e+00,1.568110212841764106e+00
4.060828830778042686e+00,3.552859134188077306e+00,1.568113037006366284e+00
4.062853311405543622e+00,4.059637020064150725e+00,2.233423920849402666e+00
3.671672697717454970e+00,4.067177602259964608e+00,3.138156425247389247e+00
1.971612547072887134e+00,4.072996218324955287e+00,3.138148858177659761e+00
2.715817647996395245e-01,4.078857455920262609e+00,3.138150063627290987e+00
3.700095083037269195e-02,4.080552633800018647e+00,3.974371951804913650e+00
2.780586322387632037e-02,3.417146930352175094e+00,4.708125920558718924e+00
2.059017178426096259e-02,1.717153115072572067e+00,4.708137972734361298e+00
1.349326496319534427e-02,8.065912555678411699e-02,4.704987725886192962e+00
1.240820526742658809e-02,7.170510189908087251e-02,5.725893987517530981e+00
