1.565790634730124919e+00,5.686175373985223200e-06,1.202687733384360907e-06
3.265712224786595730e+00,7.861406282419599313e-06,3.687957699029862638e-06
4.069390653135340763e+00,-5.201927252269109101e-04,7.152612280901303743e-01
4.078255908137403019e+00,1.353029899646960021e-01,1.606133118197438758e+00
4.002672986913520248e+00,1.836990490466117842e+00,1.618475885259920366e+00
3.921584535416549944e+00,3.536379562889403250e+00,1.618483420692902408e+00
3.899903955286029955e+00,4.005786714130740833e+00,2.495978617721499315e+00
3.475324813064838203e+00,4.010304031999617713e+00,3.158837910908075752e+00
1.792122691132178591e+00,3.981914318297412603e+00,3.158319055103243844e+00
9.805102117098030146e-02,3.953580040660809036e+00,3.158322104635663319e+00
-1.330754689671304059e-01,3.950692348188771685e+00,4.172206126875768639e+00
-1.247776899637436376e-01,3.274556838920334112e+00,4.743271996124572176e+00
-7.176247984770740829e-02,1.559206326082718697e+00,4.743255860475697361e+00
-2.072349972617573352e-02,-9.405771807355250980e-02,4.743228926635715936e+00
-2.167162594038195972e-02,-1.037256457514241503e-01,5.850026525166607705e+00
